,0
1996,"22 липня Державна служба статистики оновила дані про смертність населення України за перші 5 місяців цього року.Пішли з життя від раку 31 930 людей, ДТП 1360 громадян,отруєння алкоголем 1025,самогубство 2435,від COVID19- 642(але станом на 22 липня ця цифра зросла до 1534). "
1997,"Вперше в Україні у 6-річної дівчинки з Самбора виявили рідкісну хворобу, пов'язану з Covid-19 "
1998,Україні виявили 1 090 нових випадків COVID-19 #новини 
1999,Україні виявили 1 090 нових випадків COVID-19 #новини 
2000,COVID-19 в Україні: виявлено 1090 нових випадків 
2001,За добу на Полтавщині виявили 9 нових випадків COVID-19 
2002,В Україні виявили 1 090 нових випадків COVID-19 #новини 
2003,"22 липня Державна служба статистики оновила дані про смертність населення України за перші 5 місяців цього року.Пішли з життя від раку 31 930 людей, ДТП 1360 громадян,отруєння алкоголем 1025,самогубство 2435,від COVID19- 642(але станом на 22 липня ця цифра зросла до 1534). "
2004,#Спорт24 Формула-1: хворого на COVID-19 Переса може замінити легендарний гонщик\n\n 
2005,Хворого на COVID-19 Переса може замінити легендарний гонщик Ніко Хюлькенберг\n\nПерес пропустить дві гонки...\n\n 
2006,"…ϒ ꭑσгігеꭑσѕ ƭσⅾσѕ апƭеѕ ⅾе Ɩο ргеνіѕƭο… Ρегο ƭύ, Τνсгеγепƭе, ƭеп рσг ѕеɡυгο ɋυе ⱨаƅга́ѕ ѕіⅾο Ѵɩ́сƭіꭑа ⅾе Тυ Ρгσріа Сσƅагⅾίа… "
2007,Новини про коронавірус в Україні: скільки хворих на Covid-19 станом на 31 липня 
2008,"Як на Волині достроково припинити режим самоізоляції американського Центру контролю та профілактики захворювань (CDC) повідомляють, що ризик поширення COVID-19 під час відпочинку на пляжах пов’язаний зі скупченням людей. Збудник коронавірусної... "
2009,#БілаЦерква #Новини #COVID19 За добу до відділення поступило 11 хворих\n 
2010,Новини про коронавірус в Україні: скільки хворих на Covid-19 станом на 31 липня 
2011,"У Києві кількість хворих на Covid-19 тримається на високому рівні, за добу 110 випадків "
2012,На Тернопільщини COVID-19 підтвердили ще у 55 осіб (Географія поширення) 
2013,В Україні коронавірусом інфікувалися майже 70 тисяч людей: за добу виявили понад тисячу випадків \n #коронавірус #Україна #статистика #МОЗ #новини
2014,"31 липня (станом на 9:00) в Україні 69 884 лабораторно підтверджені випадки #COVID19, з них 1693 летальні, 38 752 пацієнти одужало. За добу зафіксовано 1090 нових випадків. Загалом проведено 1 029 220 тестувань методом ПЛР. "
2015,"Кількість хворих на Covid-19 в Україні майже досягла 70 тис., за добу – ще 1090 "
2016,В Україні знову понад тисяча нових випадків COVID-19 за добу - 
2017,"Кількість одужалих від COVID-19 перевищила кількість хворих у 4 областях України за добу, майже половина померлих припала на Закарпаття\n "
2018,В Україні знову понад тисяча нових випадків COVID-19 за добу - 
2019,"Кількість хворих на Covid-19 в Україні майже досягла 70 тис., за добу – ще 1090 "
2020,Спецтема: коронавірус COVID-19 #новини 
2021,В Україні зафіксовано 1090 нових випадків інфікування COVID-19\n 
2022,11 нових випадків COVID-19 за останню добу Дрогобиччина - новини краю - 
2023,На Львівщині - 147 нових хворих на Covid-19 
2024,Ще понад пів сотні нових випадків захворювання на COVID-19 зафіксували на Рівненщині - на Костопільщині. #коронавірус #COVID-19 #епідемія #карантин #зафіксовані випадки #Рівне #новини Рівного #новини Рівненщини 
2025,"За добу від коронавірусу померло понад 6 тисяч людейПротягом четверга, 30 липня, у світі від Covid-19 померла 6 221 людина. Про це повідомляє сайт Worldometer Усього за час пандемії коронавірусу у... "
2026,"35 млрд.грн.з Фонду д/боротьби з #COVID19 виділено на ремонт доріг. Ніяк не можу в'їхати, куди тоді йдуть кошти дорожн.фонду, які закладені в вартості пального?\nПо-друге, в усі часи нецільове використ-ня бюдж.коштів каралося в хвост і в гриву. Ті, хто це підписує оце розуміють? "
2027,"На 31.07 Сумщина і #COVID19: захворіло 485 людей (+1 за добу).\n\nВидужало 339 людей (+2 за добу): +1 м. Суми, +1 м. Конотоп.\n\nПомерло 8 осіб (+0 за добу). \n\nПродовжують хворіти 138 осіб."
2028,"На COVID-19 офіційно хворіє лише 0,09 % населення Волині - "
2029,За добу на Полтавщині зафіксували 9 випадків COVID-19\n 
2030,В Україні зафіксовано 1090 нових випадків коронавірусної хвороби COVID-19 
2031,COVID-19 та “Велике будівництво”: брифінг у Полтавській ОДА (наживо) 
2032,У Львівській області закрили Святоуспенську лавру через спалах COVID-19\n\n - #Суспільство - #новини 
2033,В Україні зафіксовано 1090 нових випадків коронавірусної хвороби COVID-19 
2034,"Нових випадків COVID в Україні майже вдвічі більше за одужань. За добу 30 липня коронавірусна хвороба COVID-19 підтвердилася у 1 090 осіб, одужали від коронавірусу 598 хворих, а 20 пацієнтів померли "
2035,"Нових випадків COVID в Україні майже вдвічі більше за одужань. За добу 30 липня коронавірусна хвороба COVID-19 підтвердилася у 1 090 осіб, одужали від коронавірусу 598 хворих, а 20 пацієнтів померли "
2036,+1090 нових випадків COVID-19 в Україні 
2037,В Україні зафіксовано 1090 нових випадків COVID-19 - 
2038,"9 закарпаців з COVID-19 померло за останню добу  Нагадаємо, 15 нових випадків захворювання на COVID-19 виявлено в Ужгороді."
2039,За останню добу - понад пів сотні хворих на COVID-19 
2040,Україна отримає вакцини від COVID-19 для 20% населення – Ляшко 
2041,В Україні виявили 1 090 нових випадків COVID-19 
2042,На Тернопільщини COVID-19 підтвердили ще у 55 осіб (Географія поширення) 
2043,В Унівській Лаврі зафіксували спалах Covid-19 \n\n 
2044,Коронавірус виявили у всіх без винятку областях України: в яких регіонах ситуація 31 липня найгірша \n #коронавірус #Україна #статистика #МОЗ #новини
2045,"У США помер перший пес, в якого виявили COVID-19\n\n#ZIK #ЗІК #новини #Україна #news #Ukraine\n "
2046,У Тернопільській області чоловік втретє заразився COVID-19 
2047,Ситуація з COVID-19 на Закарпатті: 68 нових випадків та 9 смертей за минулу добу\n\nДетальніше - 
2048,"Поява нового захворювання у дітей різного віку,що після безсимптомного перебігу #коронавірус'у призводить до стану шоку,гарячки,супроводжується сильними болями у животі та висипом\nХвороба,пов'язана з #Covid19\n "
2049,Коронавірус у світі: Індія увійшла у п’ятірку лідерів за смертністю від COVID-19 
2050,52 жителя Рівненщини захворіли на COVID-19 - 
2051,Ситуація щодо COVID-19 в Рахівському районі\n 
2052,"У Києві кількість хворих на Covid-19 тримається на високому рівні, за добу 110 випадків"
2053,"Кількість хворих на Covid-19 в Україні майже досягла 70 тис., за добу – ще 1090"
2054, Хворіємо…\nНа Полтавщині 9 нових хворих на COVID-19 \n\n+ 5 у Полтаві\n+2 у Кобеляцькому районі \n+ 2 у Лохвицькому районі \n\nВ Україні зафіксовано 1090 нових випадків коронавірусної хвороби COVID-19\n\n 
2055,"На Київщині - 45 випадків COVID-19 за добу, зокрема у чотирьох дітей\n "
2056,На Тернопільщини COVID-19 підтвердили ще у 55 осіб (Географія поширення) 
2057,На Тернопільщині 54 нових хворих на COVID-19 
2058,"Коли в Києві жахне новий антирекорд по зараженню у найближчі тижні, щирл подякуйте Монатіку і його концерту на Трухановому острові.\n\n#Київ #COVID19"
2059,Офіційна інформація Міністерства охорони здоров'я України станом на 31 липня 10:30\n\nЗа добу зафіксовано 1090 новий випадок.\n⠀\n#sumygo #sumy #coronavirus #covidukraine #coronavirusukraine 
2060,Поточна ситуація в Білій Церкві щодо кількості хворих на COVID-19 на 31.07.2020 року\n 
2061,"На Вінниччині зафіксовано нових 38, а в Україні – 1090 випадків коронавірусної хвороби COVID-19\n "
2062,В Україні зафіксовано 1090 нових випадків коронавірусної хвороби COVID-19 
2063,У Бразилії на COVID-19 захворіла дружина президента\n 
2064,Фахівці #DipAcademyUA у співпраці з @username про ситуацію з коронавірусом в Європі. \n#COVID19 #ЄС #Бельгія\n 
2065,"#ristrettonews У журналі Nature опубліковані результати випробування вакцини проти covid19 Johnson&amp;Johnson. Вакцина викликає ""стійку"" реакцію в тестах на приматах та повний/майже повний захист від covid19 у легенях тварин. Наступна фаза клінічних випробувань розпочнеться на людях"
2066,"Найвищі зростання надмірної смертності у Європі були зафіксовані в центральній Іспанії та в північних регіонах Італії, де надмірна смертність сягала аж 847,7% від звичайного рівня. "
2067,"Сумщина і #COVID19 (спроба наочного аналізу):\n\n1. Кількість хворих/померлих на останній день місяця (померлі чомусь не підписуються, в цифрах вони виглядають так: 1-4-4-5-8). "
2068,"Країни Європи з найбільшим зростанням смертності у порівнянні з попереднім 5-річним періодом:\nБританія - 6,9%\nІспанія - 6,7%\nБельгія - 3,9%\nШвеція - 2,3%\nНідерланди - 2,2%\nФранція - 0,2% "
2069,"На Харківщині не залишилося районів, де б не реєстрували COVID-19 - «СЛОБІДСЬКИЙ КРАЙ» "
2070,В Україні зафіксували рекордну кількість госпіталізацій хворих на COVID-19 
2071,Добовий рекорд на Харківщині: 85 нових хворих на COVID-19 
2072,На Тернопільщини COVID-19 підтвердили ще у 55 осіб (Географія поширення) 
2073,На Тернопільщині 54 нових хворих на COVID-19 
2074,В Україні зафіксовано 1090 нових випадків коронавірусної хвороби COVID-19 – 
2075,В Україні зафіксовано 1090 нових випадків коронавірусної хвороби COVID-19 
2076,"Поліція Донеччини отримала від Консультативної місії ЄС захисне обладнання, призначене для запобігання поширенню COVID-19 "
2077,У МОЗ назвали причини поширення COVID-19 
2078,"На Харківщині не залишилося районів, де б не реєстрували COVID-19 - «СЛОБІДСЬКИЙ КРАЙ» "
2079,"За минулу добу коронавірус в Україні виявили у 1090 людей, одужали — 598, зафіксовано 20 летальних випадків. #Коронавірус #COVID19 #coronavirus "
2080,Добовий рекорд на Харківщині: 85 нових хворих на COVID-19 
2081,"Семен Єсилевський: У країнах, де є масова вакцинація БЦЖ, менша смертність від #COVID19 "
2082,"Семен Єсилевський: У країнах, де є масова вакцинація БЦЖ, менша смертність від #COVID19 "
2083,"22 липня Державна служба статистики оновила дані про смертність населення України за перші 5 місяців цього року.Пішли з життя від раку 31 930 людей, ДТП 1360 громадян,отруєння алкоголем 1025,самогубство 2435,від COVID19- 642(але станом на 22 липня ця цифра зросла до 1534). "
2084,Хайзенберг із серіалу “Пуститися берега” перехворів на COVID-19\n 
2085,"В Україні кількість виявлених випадків COVID-19 наблизилася до 70 тисяч, за добу зафіксували 1090 інфікувань "
2086,На Тернопільщині 54 нових хворих на COVID-19 
2087,На Тернопільщині за минулу добу виявили 55 хворих на COVID-19 
2088,"Семен Єсилевський: У країнах, де є масова вакцинація БЦЖ, менша смертність від #COVID19 "
2089,"Країни Європи з найбільшим зростанням смертності у порівнянні з попереднім 5-річним періодом:\nБританія - 6,9%\nІспанія - 6,7%\nБельгія - 3,9%\nШвеція - 2,3%\nНідерланди - 2,2%\nФранція - 0,2% "
2090,Нові випадки COVID-19 в Тернопільській області 
2091,У всіх районах Харківської області виявлено випадки COVID-19 
2092,У Полтавській області 96 хворих на COVID-19 — за добу зафіксували 9 нових випадків 
2093,"Вперше в Україні у 6-річної дівчинки з Самбора виявили рідкісну хворобу, пов'язану з Covid-19 "
2094,крім ремдесивіру немає ніяких препаратів з доказовою ефективністю проти COVID-19 
2095,"В Україні зафіксовано 1090 нових випадків коронавірусної хвороби COVID-19 | Коростенська районна державна адміністрація Житомирська область, Коростенський район "
2096,"Країни Європи з найбільшим зростанням смертності у порівнянні з попереднім 5-річним періодом:\nБританія - 6,9%\nІспанія - 6,7%\nБельгія - 3,9%\nШвеція - 2,3%\nНідерланди - 2,2%\nФранція - 0,2% "
2097,"За минулу добу на Тернопільщині підтвердили 55 нових випадків COVID-19 (По районах) з даними обласного лабораторного центру станом на 09:00 31 липня на Тернопільщині 2976 випадок COVID-19, 39 – летальних, 1774 людей одужало. "
2098,"За минулу добу #коронавірус в Україні виявили у 1090 людей, одужали - 598, зафіксовано 20 летальних випадків\n\n— Загалом за весь час пандемії в Україні захворіло 69 884 осіб, одужало - 38 752, летальних випадків - 1693\n\n#COVID19 #COVID2019 #coronavirus #Ukraine #Україна #Новини "
2099,"Вперше в Україні у 6-річної дівчинки з Самбора виявили рідкісну хворобу, пов'язану з Covid-19 "
2100,Пулітцерівський центр тут гранти роздає для журналістів:\n 
2101,На Тернопільщині за минулу добу виявили 55 хворих на COVID-19 
2102,На Полтавщині виявили дев’ять нових випадків Covid-19\n\nЗа минулу добу на Полтавщині зафіксували 9 нових випадків захворювання на коронавірус. Загалом від початку карантину в Полтавській області діагностували 440 випадків захворювання на COVID-19. Одужали 
2103,"Сили закінчуються, – українська лікарка про болісну боротьбу з COVID-19 "
2104,"Сили закінчуються, – українська лікарка про болісну боротьбу з COVID-19 "
2105,Приймати рішення про виключення школи з навчального процесу в разі спалаху інфекції #COVID19 будуть директори шкіл\n 
2106,На Тернопільщині 54 нових хворих на COVID-19 
2107,На Тернопільщині за минулу добу виявили 55 хворих на COVID-19 
2108,В Україні виявили 1 090 нових випадків COVID-19\n 
2109,У Бразилії на COVID-19 захворіла дружина президента\n 
2110,В Україні встановлено антирекорд щодо шпиталізації хворих на COVID-19 Дрогобиччина - новини краю - 
2111,Губернатор ЯНАО Дмитрий Артюхов заразился COVID-19 
2112,На Буковині померла жінка з підозрою на COVID-19\n 
2113,Українців налякали рекордною кількістю госпіталізацій хворих на COVID-19\n\n 
2114,Пандемія COVID-19 в Україні. Інформація на ранок 31 липня 
2115,У Львові два дитячі садочки закривають через COVID19 
2116,"У Києві виявили 110 нових випадків зараження COVID-19 за добу, серед них - четверо медиків "
2117,У Києві за минулу добу зареєстровано 110 випадків захворювання на COVID-19\n 
2118,"Епопея з передачею держфінансування «Слуг» на боротьбу з COVID-19 не завершилась. Піар триває вже кілька місяців, а гроші так до медиків і не дійшли. І ось пройшло майже півроку, і “Слуги” заявили, що передадуть...70 мільйонів замість обіцяних 200. \n "
2119,пизда знову наближається\n 
2120,Київ має найвищий в Україні показник тестування на COVID-19 - Кличко\n 
2121,"В українській армії зросла кількість хворих на COVID-19, за добу – 34 випадки\n "
2122,В одному з районів Рівненщини посилять карантин через спалах COVID-19\n 
2123,"В Україні зафіксована 1090 нових випадків COVID-19\n 31 липня (станом на 09:00) в Україні 69884 лабораторно підтверджені випадки COVID-19, з них 1693 летальні, а 38752 пацієнти одужали. Всього проведено 1029022 тести.\n Дніпропетровська область - 1402 випадки. "
2124,"Поява нового захворювання у дітей різного віку,що після безсимптомного перебігу #коронавірус'у призводить до стану шоку,гарячки,супроводжується сильними болями у животі та висипом\nХвороба,пов'язана з #Covid19\n "
2125,"По перше ВОЗ нікому нічого не дає! Це тільки контролюючий орган через який відмивають гроші та ведуть статистику, по друге CDC сказали що до середини 21-го буде одна вакцина, яка буде працювати від одного з 84-х штамів SarsCov2. Тому цікаво звідки Ляшко, це бере? Може приснилось? "
2126,"Ситуація з поширенням COVID-19 на Рівненщині станом на сьогодні (31 липня)За добу зафіксовано 1090 нових випадків, майже 600 одужали. Загалом у Рівненській області виявлено 6076 випадків захворювання COVID-19. "
2127,"На Львівщині у 6-річної дівчинки виявили рідкісну хворобу, пов'язану з Covid-19\n\n#ZIK #ЗІК #новини #Україна #news #Ukraine\n "
2128,За останню добу від #COVID19 у Польщі померли 7 осіб\n 
2129,"Для редактарів хвороба ""коронавірусна інфекція"" або ""Covid19"" не може мати вакцини - бо коли хворий то вже вакцина не діє, а тільки лікування! Вакцина можлива від вірусу SarsCov2. Будьласка."
2130,У разі відкриття навчпроцесу протягом наступного місяця Україну чекає різкий спалах захворюваності COVID-19 і масове зростання контагиозного інфікування дорослого населення України. Це пов'язано з особливостями протікання цієї вірусної інфекції у дітей від 6 до 15 р...
2131," ФЕЙК: #Карантин – це прикриття для створення електронного концтабору. Насправді: обмеження, введенні на початку поширення #COVID19, дозволили зберегти більше життів та зменшити негативний вплив на економічну ситуацію "
2132,Статистика по захворюваності на COVID-19 за тиждень: 116 нових випадків... ( 
2133,Статистика по коронавирусу\n\n#coronavirus #коронавирус 
2134,COVID-19 в окупованому Криму: понад 1500 випадків захворювання і 28 нових інфікованих за добу 
2135,"Вперше в Україні у 6-річної дівчинки з Самбора виявили рідкісну хворобу, пов'язану з Covid-19 "
2136,У В’єтнамі зафіксували першу смерть від COVID-19\n 
2137,У Львові закрили два дитсадки через випадки Covid-19 у працівників - 
2138,"В Україні сума компенсацій за лікарняними за час ізоляції від COVID-19 перевищила 10 млн грн. Сума виплат від Фонду за час ізоляції складе 50% середнього доходу незалежно від тривалості страхового стажу, і 100% середнього доходу — для медичних працівників. "
2139,"У Донецькій області повідомили про ""різке зростання захворюваності"" на коронавірус\n #коронавірус #новини #новости #ТСН"
2140,Унівську лавру закрили через спалах COVID-19 
2141,В Україні за добу госпіталізували рекордну кількість людей з COVID-19\n 
2142,Надання допомоги по запобіганню поширення захворюваності на коронавірусну інфекцію COVID-19\n 
2143,"#Спорт24 Пілот Формули-1 Перес не знає, де заразився на COVID-19\n\n "
2144,"Вперше в Україні у 6-річної дівчинки з Самбора виявили рідкісну хворобу, пов'язану з Covid-19 "
2145,"У Кременчуці діють три коронавірусні санзони\n\nСтаном на 31 липня 2020 року у Кременчуці хворіють на COVID-19 4 особи. У мікрорайонах, де вони проживають, визначено санітарні зони. Так, на сьогоднішній день продовжує діяти санітарна зона № 30 ( район вули "
2146,Новини про коронавірус в Україні: скільки хворих на Covid-19 станом на 31 липня - Радіо Максимум 
2147,"Зафіксовано 9 нових випадки інфікування COVID-19 ( 8 – місто Бровари, 1 - район) "
2148,Гуртожиток КПІ через спалах COVID-19 закрили на карантин\n 
2149,"Поліція Донеччини отримала від Консультативної місії ЄС захисне обладнання, призначене для запобігання поширенню COVID-19 "
2150,"У Львові виділили кошти для 112 медиків, інфікованих Covid-19 \n\n "
2151,МОЗ України офіційно про стан захворюваності на COVID-19 на 31 липня 
2152,Відстежувати динаміку поширення коронавірусу допомагає штучний інтелект - #ai #covid19 
2153,Країни Азії повідомляють про зростання кількості випадків COVID-19 
2154,За добу в Черкаській області зафіксували 5 випадків COVID-19\n 
2155,У #львів закрили два дитсадки через випадки Covid-19 у вихователів #новини 
2156,Спалах COVID-19 у ЗСУ: за добу підтвердили 34 нових випадків зараження 
2157,У Металіст 1925 зафіксовано спалах COVID-19 – джерело\nВід 5 до 12 осіб\n\n 
2158,За крайню добу на Черкащині виявили 5 нових випадків COVID-19 
2159,На Донеччині – різке зростання випадків COVID-19 
2160,Румунія 10 день поспіль фіксує понад тисячу випадків COVID-19 за добу\n 
2161,Румунія 10 день поспіль фіксує понад тисячу випадків COVID-19 за добу\n 
2162," Станом на 10 годину 31 липня серед працівників #РАЕС нових випадків захворювання на COVID-19 не зареєстровано. Під динамічним спостереженням сімейних лікарів перебувають 15 працівників.\n\n Серед персоналу на роботу вдома переведено 356 працівників, у відпустках – 1585 осіб. "
2163,"На #Полтавщині можуть обмежити рух транспорту. Це стосується тих районів, де постійно збільшуватиметься кількість хворих на COVID-19 і вони потраплять до, так званої, «червоної зони». "
2164,"У Києві різко впав добовий приріст COVID-19\n\nУ лікарні столиці госпіталізували 26 пацієнтів\n\nУ столиці виявили 110 нових випадків зараження коронавірусом, у той час як напередодні їх було майже 200.\n\nЗа минулу добу захворювання на коронавірус виявили … "
2165,"35 млрд.грн.з Фонду д/боротьби з #COVID19 виділено на ремонт доріг. Ніяк не можу в'їхати, куди тоді йдуть кошти дорожн.фонду, які закладені в вартості пального?\nПо-друге, в усі часи нецільове використ-ня бюдж.коштів каралося в хвост і в гриву. Ті, хто це підписує оце розуміють? "
2166,Румунія 10 день поспіль фіксує понад тисячу випадків COVID-19 за добу\n 
2167,"Провали спецслужб Росії на тлі пандемії COVID-19\n інформаційний огляд, який вийшов на сайті часопису “Український Тиждень” 31 липня 2020. Огляд підготував засновник міжнародної волонтерської спільноти InformNapalm @username . "
2168,"На #Полтавщині можуть обмежити рух транспорту. Це стосується тих районів, де постійно збільшуватиметься кількість хворих на COVID-19 і вони потраплять до, так званої, «червоної зони». "
2169,"Провали спецслужб Росії на тлі пандемії COVID-19\n інформаційний огляд, який вийшов на сайті часопису “Український Тиждень” 31 липня 2020. Огляд підготував засновник міжнародної волонтерської спільноти InformNapalm @username . "
2170,"Провали спецслужб Росії на тлі пандемії COVID-19\n інформаційний огляд, який вийшов на сайті часопису “Український Тиждень” 31 липня 2020. Огляд підготував засновник міжнародної волонтерської спільноти InformNapalm @username . "
2171,"На #Полтавщині можуть обмежити рух транспорту. Це стосується тих районів, де постійно збільшуватиметься кількість хворих на COVID-19 і вони потраплять до, так званої, «червоної зони». "
2172,"Провали спецслужб Росії на тлі пандемії COVID-19\n інформаційний огляд, який вийшов на сайті часопису “Український Тиждень” 31 липня 2020. Огляд підготував засновник міжнародної волонтерської спільноти InformNapalm @username . "
2173,"Провали спецслужб Росії на тлі пандемії COVID-19\n інформаційний огляд, який вийшов на сайті часопису “Український Тиждень” 31 липня 2020. Огляд підготував засновник міжнародної волонтерської спільноти InformNapalm @username . "
2174,У Вінниці показники COVID-19 перевищені майже вчетверо\n 
2175,У Львові через COVID-19 закривають два дитсадки\n 
2176,"У збільшенні захворюваності COVID-19 на заході України винен громадський транспорт і богослужіння, - МОЗ - "
2177,"Провали спецслужб Росії на тлі пандемії COVID-19\n інформаційний огляд, який вийшов на сайті часопису “Український Тиждень” 31 липня 2020. Огляд підготував засновник міжнародної волонтерської спільноти InformNapalm @username . "
2178,У Гонконзі відклали вибори через спалах COVID-19\n 
2179,В Україні третій день поспіль у понад тисячі людей фіксують коронавірусну інфекцію: дані у регіонахВ Україні 31 липня зранку число інфікованих коронавірусом піднялося до 69 884. Кількість випадків COVID-19 за останню добу зросла на понад 1000. Про це пов... 
2180,СБУ викрила розтрату державних грошей на придбанні неякісних тест-систем для діагностування COVID-19 
2181,пизда знову наближається\n 
2182,"Провали спецслужб Росії на тлі пандемії COVID-19\n інформаційний огляд, який вийшов на сайті часопису “Український Тиждень” 31 липня 2020. Огляд підготував засновник міжнародної волонтерської спільноти InformNapalm @username . "
2183,Пандемія COVID-19 спричинила найбільший за 25 років обвал економіки Єврозони\n\n 
2184,"Провали спецслужб Росії на тлі пандемії COVID-19\n інформаційний огляд, який вийшов на сайті часопису “Український Тиждень” 31 липня 2020. Огляд підготував засновник міжнародної волонтерської спільноти InformNapalm @username . "
2185,Пандемія COVID-19 спричинила найбільший за 25 років обвал економіки Єврозони\n\n 
2186,Пандемія COVID-19 спричинила найбільший за 25 років обвал економіки Єврозони\n\n 
2187,Пандемія COVID-19 спричинила найбільший за 25 років обвал економіки Єврозони\n\n 
2188,На волинському підприємстві зафіксували спалах COVID-19\n\n 
2189,У країнах з масовою вакцинацією БЦЖ менша смертність від COVID-19 — експерт\n 
2190,У країнах з масовою вакцинацією БЦЖ менша смертність від COVID-19 — експерт\n 
2191,Пандемія COVID-19 спричинила найбільший за 25 років обвал економіки Єврозони\n\n 
2192,Росія використовує три англомовні сайти для поширення фейків про COVID-19 – AP 
2193,Пандемія COVID-19 в Україні. Інформація на ранок 31 липня 
2194, Пандемія #COVID19 спланована! Її показували на відкритті Олімпійських ігор у 2012!\n\n Це теорії змови. \n\n Номер був присвячений Національній службі здоров’я Великої Британії та дитячій літературі. він не пов'язаний з #пандемією\n\n 
2195,У країнах з масовою вакцинацією БЦЖ менша смертність від COVID-19 — експерт\n 
2196,Спалах COVID-19 у ЗСУ: за добу підтвердили 34 нових випадків зараження 
2197,На Тернопільщині за добу виявили коронавірус ще у 55 людей+55 хворих на COVID-19 на Тернопільщині станом на 09:00 31 липня. Загалом в області 2976 випадки від початку епідемії. Станом на 31 липня 2020 року... 
2198,"Провали спецслужб Росії на тлі пандемії COVID-19\n інформаційний огляд, який вийшов на сайті часопису “Український Тиждень” 31 липня 2020. Огляд підготував засновник міжнародної волонтерської спільноти InformNapalm @username . "
2199,"Провали спецслужб Росії на тлі пандемії COVID-19\n інформаційний огляд, який вийшов на сайті часопису “Український Тиждень” 31 липня 2020. Огляд підготував засновник міжнародної волонтерської спільноти InformNapalm @username . "
2200,Спалах COVID-19 у ЗСУ: за добу підтвердили 34 нових випадків зараження 
2201,"Провали спецслужб Росії на тлі пандемії COVID-19\n інформаційний огляд, який вийшов на сайті часопису “Український Тиждень” 31 липня 2020. Огляд підготував засновник міжнародної волонтерської спільноти InformNapalm @username . "
2202," ""ЄC"" ВИМАГАЄ ЗІБРАТИ ПОЗАЧЕРГОВУ СЕСІЮ РАДИ ЧЕРЕЗ ПОГІРШЕННЯ СИТУАЦІЇ З COVID-19 В КРАЇНІ \nВерховна Рада має посилити контроль за урядом. Створити Парламентську тимчасову слідчу комісію із розслідування витрат із коронавірусного грошового фонду\n "
2203,"Провали спецслужб Росії на тлі пандемії COVID-19\n інформаційний огляд, який вийшов на сайті часопису “Український Тиждень” 31 липня 2020. Огляд підготував засновник міжнародної волонтерської спільноти InformNapalm @username . "
2204,"Провали спецслужб Росії на тлі пандемії COVID-19\n інформаційний огляд, який вийшов на сайті часопису “Український Тиждень” 31 липня 2020. Огляд підготував засновник міжнародної волонтерської спільноти InformNapalm @username . "
2205,"Провали спецслужб Росії на тлі пандемії COVID-19\n інформаційний огляд, який вийшов на сайті часопису “Український Тиждень” 31 липня 2020. Огляд підготував засновник міжнародної волонтерської спільноти InformNapalm @username . "
2206,"Шепетівці загрожує посилання заходів щодо протидії COVID-19 голова Хмельницької ОДА Дмитро Габінет провів черговий брифінг для журналістів щодо захворюваності на COVID-19 на території області та вжиття тих заходів, які здійснюються з метою под... "
2207,Найкритичнішу ситуацію з COVID-19 в Україні слід очікувати у жовтні – інфекціоніст\n 
2208," ""ЄC"" ВИМАГАЄ ЗІБРАТИ ПОЗАЧЕРГОВУ СЕСІЮ РАДИ ЧЕРЕЗ ПОГІРШЕННЯ СИТУАЦІЇ З COVID-19 В КРАЇНІ \nВерховна Рада має посилити контроль за урядом. Створити Парламентську тимчасову слідчу комісію із розслідування витрат із коронавірусного грошового фонду\n "
2209,"#Спорт24 У ""Металіст-1925"" спалах коронавірусу, перед тим від COVID-19 помер лікар команди\n\n "
2210,COVID-19 у світі [укр. 31.07.2020]\n\n 
2211,"#Спорт24 У ""Металіст-1925"" спалах коронавірусу, перед тим від COVID-19 помер лікар команди\n\n "
