,0
1347,Rangers’ Ryan Strome sidelined 2 games by COVID-19 protocols 
1348,"Covid-19 Update: “I’ve Never Been So Afraid Of Christmas,” Health Official Says As California Rolls Out Mobile Field Hospitals, Contemplates Rationing Care "
1349,"“luck” ??? \nWestern media gave New Zealand glowing coverage for its handling of covid, while ignoring Vietnam despite Vietnam’s population being 10x that of NZ and having fewer than 50 deaths. They finally acknowledge Vietnam’s success by reducing it to “luck” "
1350,"#fb Chevrolet Corvette of the redesigned 2020 midengine Corvette got off to a rocky start, interrupted by the 40-day UAW strike last fall and a two-month shutdown spurred by the coronavirus pandemic this spring.\n\nSTAGE:Chevrolet Corvette"
1351,Alberta passes five million vaccine dose milestone as 130 new cases of COVID-19 reported since ... #yeg #yegnews #yegisawesome #Alberta411
1352,"Forgotten is the work of afterschool programs. COVID-19 has taken a toll on providers. However, we’re still working to provide an outlet for kids - virtually. Here are some tips for anyone in need of some ideas on how to support students after school\n "
1353,South Hams cases looking good and still on the last page for the country. \nPubs opening Monday. Yahoo! 
1354,Agar cases poore world me kam ho rhe h to hamara bhi peak chla jaega .So why can't we wait for that and postpone the exams till that normalcy.\n#SWAMYJI_HELPJEENEET \n@username 
1355,"As expected, Colts activate QB Carson Wentz, RT Braden Smith, CB T.J. Carrie off COVID-19 list"
1356,"Coronavirus gut check: How small businesses are surviving via @username Unlike US Corporate that has to kiss @username @username @username @username asses to stay afloat all #SmallBusinesses in America put her/his faith in the ""We the People"""
1357,"At 226,000 Covid-19 cases, Tennessee would rank 27th in world among NATIONS for total coronavirus cases — right ahead of Canada."
1358,The best thing.\n#boston 
1359,VICTON’s Heo Chan Diagnosed With COVID-19 + Other VICTON Members Test Negative\n 
1360,"At least 15 people on 2 flights from South Africa test positive for coronavirus at Amsterdam Airport; number expected to rise, variant not yet known - NOS"
1361,Hostile environment contributed to UK health inequalities highlighted during coronavirus pandemic\n\nA think-tank argues Britain's tough immigration measures exacerbate health inequalities by deterring people from accessing help 
1362,The latest The FOOD PARTS SERVICES Daily! #covid19 #cdnbiz
1363,House panel subpoenas HHS and CDC heads over claims of political interference 
1364,Coronavirus: Mayor's 'dangerous' beach act despite WHO warning via @username
1365,"As the AP explains: ""The Board of Governors, which selects the postmaster general, is currently made up of Trump appointees. ... If Biden fills all vacancies, then Democratic members would hold a majority, though the board is officially bipartisan."" "
1366,Covid-19 vaccines are being hoarded by rich countries — poor ones are missing out - NBC News 
1367,I received my 1st dose of the Pfizer vaccine at the Tampa Greyhound Track today! This Federally-supported site has very little waiting &amp; no appt is needed! I encourage everyone eligible to get their vaccine there or at any other convenient COVID-19 vaccination location. 
1368,"10/5 ""in fact, we have heard from federal, state, and even local officials that Chinese diplomats are aggressively urging support for China’s handling of the COVID-19 crisis. Yes, this is happening at both the federal and state levels.""\n\n "
1369,Don’t threaten us with a nice time. 
1370,"At @username GB the #Employers Spokesperson &amp; @username VP @username stressing that #COVID19 has made call for collaboration and policy coherence not only as a must, but as a matter of urgency. The crisis requires comprehensive responses, in which #UN and UN agencies must work as one. "
1371,"Improve your immunity with GUR-CHANA, it helps to fight viruses like COVID-19 . Daily consumption of gur-chana also helps in improving your skin health. follow us here @username \n#gurchana #immunitybooster #immunity #healthysnack #skinhealth #healthsnack #rajavara #foodie "
1372,"Thank you for an excellent meeting, @username Foreign Minister, #Canada. Health is the key mover of humanity &amp; that’s why we need to combat #COVID19 together. @username greatly appreciates ’s support &amp; leadership in the COVAX initiative.\n "
1373,A full industry agenda for 2021\nRead more #planningdays #COVID19 #interstate #travel #onlinemeetings 
1374,US President-elect Joe Biden gets Pfizer Covid-19 vaccine live on TV 
1375,"""V"" stands for Vector. Covid-19 is not an ""invisible enemy"",, it can be seen on every unmasked face. "
1376,Sometimes there is a need for crisp lines. Those who seek to undermine COVID19 vaccines place their own short term political gains and expediency ahead of love of country. They are not patriots. They are bottom feeders. Opportunists. I’ve seen them come and go. Mostly go.
1377,A must read story by @username about how Hospitals are fighting this endemic along with host of other issues\n #COVID19 @username Thank You for your service Dr \n@username @username @username @username @username @username
1378,Doses of the mRNA vaccine are on track to arrive within weeks. Details: #Coronavirus #7NEWS 
1379,"Emails show Dr. Anthony Fauci was advised by Erik Nielsen, a physicist and CEO of Bio-Signal Technologies, in *March 2020*, that two drugs could possibly help battle the coronavirus pandemic, but Fauci ignored it, claiming the email was ""too long"" for him to read."
1380,"Constitutional Court has ignored a Constitutional Violation by Ramaphosa led government which has illegal instituted an evil Global Martial Law an Apartheid Lockdown on fake Covid-19 viruses, found guilty a court of law for violating Bill of Rights. "
1381,Government of Andhrapradesh Orders on Curfew extension to Contain the spread of the Covid19 : 
1382,There are too many of these stories. The unvaxxed are literally causing others to die w/ their selfish refusal to get vaccinated!! 
1383,Trump claims #COVID19 gone...\n\n#Resist #Trump #coronavirus #NotMeUs #1u #nhpolitics #VoteBlue #DumpTrump #VoteTrumpOut 
1384,Study by @username co-led by Sands Trustee @username finds unvaccinated women who have Covid-19 near end of pregnancy are more vulnerable to complications.\n\nEvidence shows vaccination in pregnancy is safe and effective.\n\nRead more 
1385,This week's IHP news 623: The 74th World Health Assembly pdf: French version: #WHA74 #COVID19 #COVAX #Tripswaiver #GHG #Pandemictreaty #G7 #G20Globalhealthsummit #hpsr #planetaryhealth &amp; much more....
1386,"Despite dip in Covid-19 cases, expert says US is in the 'eye of the hurricane' as variants spread - CNN "
1387," The EU ""green pass"" will most likely include vaccines approved by @username only, leaving out countries using Sputnik or Sinopharm. This leaves Balkan countries using mostly Chinese &amp; Russian #COVID19 jabs &amp; depending on tourism in a tight spot. \n\n "
1388,Amazing work from the @username team! Further proof that meeting people where they are with reliable information is the best way to combat vaccine hesitancy and lack of vaccine access. #DoorToDoor #COVID19 
1389,Never forget that when Trump announced restrictions on Travel on 1/31/20\n\nJoe Biden called it “Hysterical Xenophobia” and “Fear Mongering” 
1390,Ontario’s science table was poised to advise against scrapping #COVID19 isolation when it was disbanded via ⁦@username #onpoli 
1391,And DC politicians still plan to deny schooling to unvaccinated children... 
1392,"The U.S. is NOT ""rounding the final turn"" on Covid-19.\n\nDaily number of new cases went up 16% just last week.\n&gt;55K new positive cases a day and &gt;219K tragic deaths.\n\nand\n\nThis Admin wants to end the ACA for 21M people.\n\nWe All Have To #VOTE To Save Lives!\n\n "
1393,I don't know who needs to hear this but defunding Social Security won't stop the coronavirus.
1394,"There are two million COVID-19 booster jab appointments available over the next week.\n \nIf you haven’t yet had your COVID-19 booster vaccine, please do come forward and get the best protection from the Omicron variant. #GetBoostedNow "
1395,"And 650,000 lives lost in the USA to #COVID19 -- official count, which is a gross underestimate. "
1396,And Covid-19 is not doing Australia or the World any favours and like Home Schooling is NOT Dan Andrews fault. It's our life now. Home Schooling is the present way it has to be. As research progresses the better it'll get. So shut your privileged mouth.
1397,"Chinese police have started targeting participants of last weekend’s mass protests against the communist regime’s harsh COVID-19 policies, according to reports \n "
1398,"Police officers monitoring dormitory halls, frequent inspections of ID cards — these are among the measures being implemented in a dorm lockdown as UC Berkeley continues to grapple with a spike of COVID-19 cases on campus.\n "
1399,"The resignation of Shahid Jameel as Chief Advisor to the Centre's Genome Surveillance project comes days after this stinging piece in @username where he said said fellow scientists in India ""are facing stubborn resistance to evidence-based policymaking."" \n "
1400,"What I find most revealing is how many of my unvaccinated patients, who are now ill with COVID19, continue to express hesitancy over the vaccine, but quickly accept experimental treatment…"
1401,Covering another Supreme court appearance that legacy media will probably ignore. This time lawyer Rocco Galati is addressing the defendant’s Motion to Strike in regards to the COVID-19 restriction related civil claim brought forth by @username \nStay tuned for updates.
1402,Immunocompromised 45 year old suffered from #COVID19 for 155 days before he died. The virus was changing very quickly inside the man's body—it acquired a big cluster of &gt;20 mutations—resembled the same ones seen in #B117 &amp; #B1351. (NPR audio Part 1 of 2) \n 
1403,#covid19 @username scott morrison NOWHERE-MAN by @username #auspol #libspill #Insiders
1404, \n\nShared by Indian Express android app. \nClick here to download \n 
1405,"Afghans as deniers: “Afghans have embraced a culture of denial, where personal priorities triumph over public health experts whose pleas are drowned out by public apathy, skepticism and an enduring belief that Allah determines a believer’s fate.” "
1406,I received our first COVID19 Pfizer vaccine!!!!!!!! 
1407,"600,000 Floridians infected and over 10,000 dead is nothing to crow about.\nTrump wants you to believe that 180,000 Americans dead from COVID19 is a success.\n#RNCConvention2020\n#TrumpChaos "
1408,"Ukraine reports a daily record 2,134 new coronavirus cases. "
1409,"Keep shouting, Marcus, we hear you! We agree! "
1410,"Japan's PM resigned because he felt he didn't handle Covid-19 pandemic well. \n\nTaliban took over Afghanistan and are creating maheym across the country.\n\nBhakts are comparing India with Afghanistan, instead of Japan.\n\nShows how low are standards of bhakts."
1411,Get informed before trying to argue. It may help. 
1412,"Dynamite is bright and cheerful Disco Pop genre. BigHit said this song was completed to give positive energy in these hard times due to the COVID19. Two big messages, 'Happiness' and Confidence' are melted in this song, and they sings Preciousness and Uniqueness of life. @username "
1413,"A Covid-19 ""tsunami"": ""Only about 40% of Myanmar's medical capacity is functioning....Oxygen became virtually unobtainable after the military co-opted supplies, and there have been reports of brutal dispersals of civilians queuing to refill cylinders."" "
1414,"This is AMAZING! Real World Effectiveness Study of COVID-19 mRNA Vaccines against Hospitalizations and Deaths in the United States (n=91,134)\n\nFully vaccinated: \n\n•96% effective at preventing hospitalization\n\n•98.7% effective at preventing death\n\n "
1415,#BackToSchoolIn5Words Covid19 for all your grandparents
1416,You need but look at the lines and packed arenas at Trump rallies to determine that he is winning by a landslide. \n\nThe Democrat play was always to use to COVID-19 to explain Biden’s lack of support—followed by fake polls and forged mail-in ballots to attempt an election steal.
1417,Very intriguing study and results. Are we sure dexamethasone 6mg daily is the right dose for all hypoxemic COVID patients? This adds another regimen to the debate of dosing per RECOVERY vs. CoDEX/DEXA-ARDS. 
1418,"Spike proteins in Pfizer, Moderna Covid-19 vaccines linked to deadly blood clots, brain inflammation and heart attacks – "
1419,House Subpoenas Health Secretary And CDC Chief As Documents Suggest Trump Appointees Interfered With Covid-19 Reports 
1420,Going out of your condo unit?\n\nThe #IATF is now requiring Filipinos to strictly follow the face shield and face mask wearing protocols to avoid COVID-19 surge during the holidays.\n\n 
1421,327 people with COVID-19 in Maine hospitals: a pandemic high that worries state leaders 
1422,Terrifying scoop by @username Reasonable worst case scenarios for this winter include:\n- 1/20 town halls go bust\n- social care in chaos\n- power cuts\n- water rationing\n\nMichael Gove said: ‘A brighter future awaits as we forge our own path’\n\n 
1423,ZHawaii’s COVID-19 Vaccination Plan Is Ready But The State Is Keeping It Under Wraps 
1424,"Ok people. You are smarter than the virus. It doesn't even have a brain. So why do people insist on visiting relatives and friends, even elderly ones, in person in the middle of the pandemic? #COVID19 1/6"
1425,The COVID-19 period has added new strength to our federal structure and the spirit of cooperative federalism: PM @username #PMinRajyaSabha
1426,"Nevadans &amp; visitors - please see the latest update below. Let’s mask up to keep one another safe. And if you haven’t yet, get your #COVID19 vaccine. Visit to find a clinic near you. "
1427,A single mom who committed to cooking at home during the coronavirus pandemic to protect the health of her daughter with lung disease has now cooked over 200 meals for her family and started her own food business. 
1428,"If @username wants to help African countries recover from the pandemic, he should lobby @username to back a patent waiver on Covid-19 vaccines. If he’d done that when he was in govt tens of millions more people could already have been vaccinated.\n. "
1429,"Inundated with messages from friends, family &amp; acquaintances about this new strain of virus in UK.\n\nHere is what we know - \n\nIt’s a new, highly mutated variant of the Coronavirus and was first detected in September. It is common for viruses to mutate as they travel."
1430,The UK is the epicenter of the current variant of the covid-19 virus.But the Nigerian govt is reluctant to ban flights from the UK because it will affect them and their families.\n\nBut they're in a hurry to shutdown small businesses because it doesn't affect them or their families
1431,Learn about Modern Monetary Theory and stop with this fear mongering around the deficit. You are going to get poor people killed with this nonsense. 
1432,Donald Trump is not responsible for COVID-19 — but he does bear full responsibility for the failed national response. \n\nWe've got to hold him accountable this November.
1433,Maryland is immediately authorizing the new single-dose bivalent boosters for COVID-19 following approval by both the FDA and the CDC. \n\nDetails: 
1434,"Punjab, Uttarakhand, Goa, Uttar Pradesh, Himachal Pradesh and Gujarat - Watch how Aam Aadmi Party functions in Delhi. \n\nThey are complicit in silence. And they did nothing to ease the woes of citizens during COVID-19 triggered pandemic. \n\nVote wisely."
1435,BREAKING: Israel reports no new coronavirus deaths for second day in a row
1436,"""The NAFOA Community is stronger with and because of you and our partners."": It's Monday (again!) and that means another installation of 5 Things You Need to Know this Week, courtesy NAFOA​. @username #NAFOAFALL2020\n "
1437,New #Ivermectin study: 4 months of high exposure - Those who took Ivermectin once a month: 6.9% (4/58) test positive. Non-Ivermectin group: 73.3% (44/60!) test positive for COVID #COVID19 #SARSCoV2 @username @username @username @username 
1438,I'm glad that President Biden sent Dr. Deborah Birx and her scarfs packing and back to Pennsylvania.\n\nToo often she indulged Donald Trump's wild theories and lies about coronavirus. At best she remained quiet and complicit.\n\nShe has zero credibility and disgraced her MD degree. 
1439,The Case Against Masks for Children - WSJ 
1440,"#COVID19 Summary of Assam on 19/06/2021\nPositive (3571 cases out of 1,61,420 test)\n =2.21%\nKamrup(M)199\nDeath -40\nRecovery rate- 91.77%\n#CoronavirusIndia"
1441,The @username finding on the origins of the #CoronaVirus demonstrate why nobody trusts them anymore. They are proving to be hacks of the #ChineseCommunistParty.
1442,#Obesity is now a political issue - the left ignores it and accepts body positivity - the right demands treatment while fighting #vaccines - the the #US citizens lose with as laws such as #TROA have no priority in congress (the right was shocked by a @username post of this study) 5/ 
1443,"Nigeria faces a huge testing problem as the 2nd COVID-19 wave hits home. In Abuja, the result of any test conducted today won’t be ready until Jan 2021. As of y/day, there were abt 7,000 samples in Abj that hadn’t been touched. NCDC urgently needs help.\n#fisayoscovid19series\n1/12"
1444,"Lisa Burke, executive director of the North Platte/Lincoln County Visitors Bureau, said the nationwide relaxation of COVID-19 health measures helped June’s lodging tax numbers recover. "
1445,"Before rushing to the vaccines currently available, listen to these docs.\nURGENT! 5 Doctors Agree that COVID-19 Injections are Bioweapons and Discuss What to do About It @username"
1446,"With a smirk, Vijayan asked the opposition to listen to his reply on all the allegations. \n\nDespite the raging protest (which violated all COVID-19 protocols), Vijayan listed out the ""anti-secular stance"" taken by the Congress in the past."
1447,"U.S. surpasses 5,000,000 cases of #COVID19! \n\nThe thought of the true number is frightening considering we have no testing system. \n\n#TrumpsCovidCoverup \n "
1448,"My God, this is heart-breaking. \nThe last member of the Juma tribe in the Amazon dies of #COVID19, making the language and culture vanish.\nIt reminds me of Ishi, that last of California's Yahi people, who died of tuberculosis in 1914.\n\n "
1449," Just announced The deadline to apply for Coronavirus business loan schemes has been extended to 31 March 2021 for #CBILS, #CLBILS and #BounceBackLoans.\n\nFind out more here "
1450,Wonderful!!! @username ji 
1451,Steve is the most selfless and kind teacher I’ve ever had. He deserves recognition for all he does for students in the Johnny Carson School. 
1452,"Today #AndhraPradesh recorded 10,820 new #COVID19 Positive cases and 97 deaths. Total number of cases now at 2,27,860 including 87,112 active cases, 1,38,712 recovered cases and 2,036 deaths: State #COVID19 Nodal Officer. "
1453, What is the mental health toll of COVID19 on society? Join an interactive webinar with a powerful panel hosted by @username \n\n 1st September 7pm BST\n\n @username @username @username 
1454,"Sir, We have only 1 hour #Need #OxygenCylinders very #Urgent jeevan jyoti hospital,avas vikas sec - 1 #Agra. #COVID19 #COVIDSecondWaveInIndia \nCell - 7452960786."
1455," Testing statistics reported by the state further show the deadly respiratory illness is out of control. 15%of COVID-19 tests came back positive, a level not seen since last summer, when Florida temporarily became the epicenter of the pandemic,"
1456,"New release of documents from @username detail emails from @username senior adviser, including saying that Trump administration ""changed the guidance"" from @username on testing "
1457,"""We're trying to evaluate things like this new variant.. and now it's time to look again at Christmas plans... if you have been socialising in recent weeks you should reconsider planned visits to older or vulnerable people.""\n\nTony Holohan's warning. \n\n#COVID19 @username "
1458,Fact Check: Joe Biden Spreads Misinformation About COVID-19 Vaccines at CNN Town Hall 
1459,"The debris of a sick society in Leicester Square. (Soon to get a lot sicker, of course). \n#EURO2020 #ENG #SCO #coronavirus #DeltaVariant #idiocracy \n "
1460,"U.S. President-elect Joe Biden received a dose of the COVID-19 vaccine Monday at the ChristianaCare Hospital in Newark Delaware. His wife, Jill Biden, was present. "
1461,"Alarm from Axios: “Press secretary Jen Psaki on Tuesday confirmed that there have been multiple breakthrough coronavirus cases among White House staffers.” \n\n“She noted that White House staff are all vaccinated and get tested regularly, adding that she gets tested twice a week."""
1462,"Crony Capitalism: UK govt gave £881m worth of contracts to individuals donating £8.2m to the Conservative Party. Many with no competitive tenders and poor value for money. Corporations/rich don't donate, they invest, expect pay-off and the govt obliges.\n "
1463,"results suggest that early diagnosis, early isolation and early treatment of COVID-19 patients, with at least 3 days of HCQ-AZ lead to a significantly better clinical outcome and a faster viral load reduction than other treatments. Published online 2020 !"
1464,Thousands of people took to the streets of Austria's capital on Saturday to protest against government plans to introduce mandatory COVID-19 vaccinations for all next month. 
1465,"What is unfolding is horrific. Bodies piling in hallways, covid cases/deaths being underreported, medical professionals not being paid, difficult access to hospital, 10 hour wait for an ambulance, and shortage of medicine. All while Kremlin covers up. Result of decades of looting "
1466,"Of the locally acquired COVID-19 cases announced today, 74 are linked to a known case or cluster – 60 are household contacts and 14 are close contacts – and the source of infection for 103 cases is under investigation. #7NEWS "
1467,"A felony carrying up to 10 years imprisonment, snuck into a pandemic relief bill. The US prison culture marches on "
1468,"Two doses of COVID-19 vaccine make you 44% more likely to be infected, a study from Oxford University on English data for 2021 has found, contradicting the basis of global vaccine policy. "
1469,Guns and #COVID19\n\nThings that have more freedom than women in Texas.
1470,We Still Don't Know All the Long-Term Consequences of 'Mild' COVID-19 
1471," @username wonders why we are expecting perfection with COVID-19 vaccines\n ""Stop expecting perfection, carefully review the emerging research, and focus on getting as many people vaccinated as fast as possible.""\n "
1472,"The full thread summarizes why Marty Makary has no business opining on the pandemic or related public health policies. This @username op/ed is a flaming load of horseshit from start to finish, as most of the trash claims herein is either grossly misinterpreted or outright false. "
1473,"Refusing to be vaccinated? FINE. I think hospitals should just set up tents for the unvaccinated that are seeking medical treatment. They can charge 3x the normal cost &amp; be run by medical staff that are crying about ""forced vaccinations"" \n#COVID19 #PlayStupidGamesWinStupidPrizes "
1474,A slate of GOP lawmakers who downplayed different concerns about the coronavirus pandemic or ignored public health advice are now facing a wave of backlash for being among the first to receive a vaccine 
1475,"""Anyone who thinks #COVID19 the pandemic is over because it’s over where they live is living in a fool’s paradise. Vaccines are powerful and essential tools. But the world has not used them well""-@username #Tokyo2020 #AGoal4All \n\n "
1476,Coronavirus in the U.S.: Where cases are growing and declining via @username 
1477,"God forbid we should be open to new ideas. But anyway what I’m saying is the economic future isn’t going to be like the past - let’s face it the present isn’t - so a rethink on policy is required, and I don’t it should be left to Treasury and RBA alone. "
1478,"UPDATE: The online appointment system used by the @username is back online. You can make appointments for COVID-19 vaccinations, routine immunizations and monkeypox vaccinations. \n\nIf appointments aren't available, check the appointment portal at: "
1479,"#COVID19: Trouble for maskless recalcitrant Victorian #LNP MPs, including Matthew Guy, during turncoat Kevin Sheedy's motivational speech, while states make plans for schools and surgeries. \n#springst | The New Daily #"
1480,MDHHS said it will consider prioritizing workers in locations where high rates of transmission and/or outbreaks have occurred. 
1481,#CancelAPBoardExams2021\n\nWe are not ready to write exams in covid-19 pandemic as the cases increasing rapidly so please cancel exams 2021
1482,Tune in as I give an update on our fight against COVID-19 and receive a briefing on the latest developments related to the Omicron variant. 
1483,"“As of today, there is no evidence that the incidents are caused by the #vaccine #covid19 @username and it is important that vaccination campaigns continue” @username \nLa OMS pide no detener las campañas de #vacuna #covid19 @username \n "
1484,Hey @username this is a highly misleading tweet. \n\nIn a study of 11 lactating individuals there were only picogram amounts of mRNA COVID-19 vaccine detected in expressed breast milk of 5 of these individuals up to 48 hours post \n\nThis is not clinically significant. 
1485,JUST IN: Belgium reports 2 suspected cases of new coronavirus variant 
1486,We know so little about this novel coronavirus that taking a punt on herd immunity is dangerous in the extreme. I would suggest that most Victorians can live through food shortages as my parents did for six years during WW2 but the difference is that no one is bombing Victoria.
1487,The Iranian regime eliminates prisoners in any way:\nexecutes them Or tortures them\nOr destroy them with #coronavirus \n#StopExecutionslnlran 
1488,"""Nigeria being able to manufacture her own vaccines will make her better prepared to respond more effectively and adequately to future pandemics and to the #COVID19 pandemic that has continued to evolve""- Everest Okeakpu, CEO @username "
1489,"Brilliant, comprehensive and important thread from a world renowned scientist, who knows a thing or two about infectious diseases and public health "
1490,You gotta be some kind of..... smh 
1491,#HappeningNow Bus leaders with @username will hold a special meeting to consider short changes to help the @username with its bus driver shortage. 
1492,"A persistent issue throughout this pandemic has been that there is still an insufficient amount of COVID-19 testing. For comparison, we've seen more cases in the last 8 days than in all of June, while the 7-day average for tests continues to decline. "
1493,Error correction for COVID-19 
1494,Please take out 5 mins to check this debate out and let me know what you think #Swamijihelp_NEETJEEaspirants
1495,Don't believe 75 years liar's &amp; those who wink at you when people Are dropping dead around you &amp; liar's say unknown causes when this has Never happened before the pfizer liar's = racketeering inside trading felonies premeditated maiming/ murdering 
1496,WE NEED HELP FOR COVID-19 \n#WhatsHappeningInMyanmar #CrimesAgainstHumanity #ReleaseTheDetainees 
1497,49 New Cases Of COVID-19 Confirmed In Kwara via @username 
1498,Did #Covid19 start a new Roaring Twenties? \n \n #wapo #bloomberg #wsj #cnbc #financialtimes #guardian
1499,"Health Minister, Joe Phaahla, says there is a possibility of an inter-provincial travel ban this festive season as a result of the rising number of new COVID-19 infections. More than 2800 cases were recorded today, with 12 deaths. #sabcnews"
1500,The outbreak in Scotland comes just one week before @username planned reopening of schools in England 
1501,PM advising students to attempt 1st tough questions is himself not finding courage to answer even a simple question since 2014\nAtleast he should answer\nOn whose advice he said Covid19 will be eradicated in 21days?\nAbout #RafaleScam who the beneficiary &amp; how the docs were stolen?
1502,"You can’t apply logic to these people. I mean, they voted for Trump. "
1503,Today I got my first COVID-19 vaccination dose. I am extremely grateful and privileged to be able to live in a part of the world where I can already get vaccinated. The vaccine distribution around the world is extremely unequal. 1/2 
1504,.@username Most Americans who haven't yet been vaccinated against the coronavirus aren't fringe conspiracy theorists and have more reasonable fears and questions.\n 
1505,Stay Up to Date with COVID-19 Vaccines Including Boosters 
1506,Shocking!\n\nCDC and CNN admit that covid infections were underestimated by HALF\n\nTwice as many people were infected as they had previously thought which means it’s far less lethal than already known. \n\n 
1507,Top Influencers #FlattenTheCurve via NodeXL hashtags:\n#flattenthecurve\n#covid19\n#wearamask\n#staysafe\n#washyourhands
1508,"Poland COVID-19 current stats for Sat Nov 12 2022\n\nCases: 6,346,228\nDeaths: 118,210\nRecovered: 5,335,940\nActive: 892,078\nTests: 37,703,501\nDoses: 57,519,990\n\n#covid_pl\n "
1509,"BMC Vaccine GHOTALA\n\nBMC Commissioner says BMC received 8 foreign bids to supply of COVID-19 vaccines including Pfizer\n\nBMC's all 8 Bidders are ""INTERMEDIARIES\n\nMeanwhile Pfizer spokesperson says they have NOT submitted any BID &amp; not authorized anybody to supply vaccine to BMC."
1510,"Booster uptake has been very low. Hospital staff are exhausted. Schools are back, with essentially no mitigation measures. The recent (very ethically problematic) study in BC shows that COVID-19 absolutely tears through schools despite claims that kids don't transmit it."
1511,.@username if #BC #PHO is not passing on relevant scientific #COVID19 information from Canada’s #PHAC —ESPECIALLY AROUND AEROSOL TRANSMISSION as well as children—YOU have a responsibility to see #BCEd #K12 has info &amp; strategized accordingly . The docs are now hosted here 
1512,"After terrorist assholes hit the World Trade Center, 2,606 people died. The country came together: Democrats AND Republicans. Now 57% of Republicans call 176,000 dead from COVID-19 ""acceptable losses?"" What happened to you, America?"
1513,"Sweden is beating coronavirus because of widespread immunity after refusing to lock down, country claims "
1514,Some of the nation’s governors routinely block access to public records to keep the public in the dark about key decisions involving the coronavirus pandemic. 
1515,"A CBS poll indicates that 57% of Republicans believe the 176k Coronavirus deaths to be ""acceptable"" losses. \n\nIt's been clear for decades that the GOP is fine with letting the most vulnerable people in our nation suffer &amp; die unnecessarily, but this is still stark &amp; disgusting. "
1516,You gutless Democratic leaders want to punish kids whose parents won't vaccinate them.\n\nRefusing a remote schooling option for January is a decision from the TOP OF THE PARTY. \n\nHow are you any different from MAGA?\n\n#COVID19 #Omicron
1517,You can now buy a rapid COVID-19 test at these Shoppers Drug Mart locations in Ontario 
1518,The lowdown on COVID-19 self-testing kits in the Czech Republic: via @username
1519,This is a massive win for religious liberty in America — and deals another blow to the petty bureaucratic tyrants still enforcing unreasonable and ineffective #COVID19 rules. 
1520,"When John Kijazi fell sick, we never knew he was sick until they told us he is dead. So, they are not in a position to tell us what is happening. They are just waiting to tell us the eventuality if he is dead or if he finally recovers from wherever he was. "
1521,"Santa’s elves come from all over the world to help with Christmas prep, but COVID-19 requires some new safety measures. Here’s how @username and @username would keep them safe and well fed! "
1522, Breaking - #SouthAfrica continues to see a fall in #Covid19 cases across the country\n\n Been a very small uptick in the number of deaths which has turned down in recent days (this may be reporting delays over Xmas) 
1523,Hard to believe this didn't help 
1524,"Judicial Watch announced a fed judge ordered the HHS to begin producing communications &amp; other records of NIAID Director Anthony #Fauci and Deputy Director H. Clifford Lane about the #WHO, #China, and the coronavirus. Read: "
1525,"If AI Is Our Future, What Can We Learn From The Past? \n #DataScience #Python #AI #100DaysOfCode #DEVCommunity #IoT #flutter #javascript #Serverless #CyberSecurity #tech #DeepLearning #StartUp #COVID19 #data #womenintech #RPA #NLP #DataOps"
1526,COVID-19 BED AVAILABILITY INFORMATION. 
1527,"COVID-19 new strain UK | Scientist note ""significant"" age shift - BBC Science Focus Magazine ⁦@username "
1528,"This #DailyBriefing should be renamed the Gaslighting Briefing as they're definitely Gaslighting the UK public trying to make us forget their horrendous handling of the #coronavirus pandemic with all the vaccine talk, we won't forget their mishandling resulted in 100000+ deaths"
1529,"‘Unis in at least 19 [US] states have reported outbreaks, despite health protocols on campus. Many outbreaks are tied to large group gatherings..., leading some schools to suspend students + orgs for breaking social distancing rules on + off campus’ "
1530,".@username - can you come up with something to remind Florida who and what @username really is? A pasty lil man, who’s afraid of a small needle and cuts in line to protect himself before others. Just an idea. #flsen "
1531,The same one that showed us how the poor papaya fruit died?\n\n 
1532,"Vote TRUMP2020\nRepeal, Bayh-Dole Act "
1533,"Saskatchewan says it set new record with 8,766 COVID-19 vaccines administered in 1 day "
1534,"Dear friends\n\nGood morning. \n\nToday is May 28th.\n\nLet's spend time with a smile today.\n\nOn a different note, \n\nwhat about coronavirus in everyone's country?\n\nThere will be an Olympic Games in July, \n\nis Japan okay now?\n\nAlice loves Japan, so she's worried.\n\nHave a nice weekend "
1535,Growth in 7D US Confirmed Covid Deaths by County For VT 2022-02-03: Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #omicron #globalhealth 
1536,"During June, there were 3.3 COVID-19 deaths per 100K people in the US. The death rate was nearly 9x higher in January at 28.5 deaths per 100K people. 15 of the 20 states with the highest June death rates had vaccination rates below the national average. See the data."
1537,"I still see things the same way.\n\nIf people don't want to follow the rules &amp; run the possibility of getting #COVID19, then that's their choice and you have no right to force them to follow the rules.\n\nAs I said from day 1. If people die, they die. It's not my problem. "
1538,"Versus New Zealand, Taiwan has experienced less than 1/2 the COVID-19 cases, and less than 1/2 the deaths.\n\nTaiwan also gets less than 1/2 the news coverage, while having 5x the NZ population and 14x the pop density.\n\nTaiwan is also woman-led: President Tsai Ing-Wen, PhD. (1) "
1539,BREAKING: COVID-19 second wave: Buhari to meet PTF Tuesday as partial lockdown begins 
